"site","region","apn","product","part_description","sto_class","req_number","req_qty","req_date","days_open"
"AUS2","NA","3466243","USP","LEFT HORIZONTAL SEAL BAR ASSY","01 HIGH","1718720","2.0","2026-03-05","148"
"AUS2","NA","3466251","USP","PIVOT BLOCK - LEFT HORIZONTAL","01 HIGH","1718720","2.0","2026-03-05","148"
"AUS2","NA","3466258","USP","LEFT VERTICAL SEAL BAR ASSY","01 HIGH","1718720","2.0","2026-03-05","148"
"AUS2","NA","3546294","USP","Kinetix VP Motor Cable, 4m","01 HIGH","1718720","1.0","2026-03-05","148"
"ORF3","NA","3022941","USP","VERTICAL TOP, POWERSONIC MATED M12 + LBO2K","01 HIGH","1717622","6.0","2026-03-05","148"
"ORF3","NA","3022943","USP","HORIZONTAL REAR, POWERSONIC MATED M12 + LBO3K","01 HIGH","1717622","6.0","2026-03-05","148"
"ORF3","NA","3022945","USP","VERTICAL BOTTOM LOAD CELL","01 HIGH","1717622","6.0","2026-03-05","148"
"ORF3","NA","3022950","USP","HORIZONTAL FRONT, POWERSONIC MATED M12 + LBO3K","01 HIGH","1717622","6.0","2026-03-05","148"
"RIC4","NA","1004322","USP","PUSHBUTTON METAL LATCH","01 HIGH","1723760","1.0","2026-03-10","143"
"SHV1","NA","3022945","USP","VERTICAL BOTTOM LOAD CELL","01 HIGH","1724029","3.0","2026-03-11","142"
"ORF4","NA","3129285","URL","RJ45 INDUSTRIAL PLUG 09451511100","02 MED","1729346","2.0","2026-03-16","137"
"ORD5","NA","10191","USP","THRUST BALL BEARING, 3/4"" ID X 1-5/16"" OD X 9/32"" HT., STEEL","01 HIGH","1731744","2.0","2026-03-18","135"
"ORD5","NA","11409","USP","TAMPA","02 MED","1731744","1.0","2026-03-18","135"
"SHV1","NA","1112947","URL","Série 7000 Transverse Roller V3 Acetal Base/ Urethane And Wear Resistant Acetal Roller/ Nylon Axle Grey/ Black And Orange/ White Largura: 737 mm (+/-1 mm) (58.0 elos) Comprimento: 1.62 metros (20 fileiras)","02 MED","1734545","1.0","2026-03-19","134"
"SHV1","NA","1125460","URL","Latch for Print Mechanism ZE511 ZE521 RH & LH","02 MED","1734545","2.0","2026-03-19","134"
"SHV1","NA","118954","URL","SQUARE_Sproket_60mm_#24_S2H0XXDHXXMT-10","02 MED","1734545","1.0","2026-03-19","134"
"SHV1","NA","2036642","URL","Peel Bracket Assembly ZE511 RH & LH","02 MED","1734545","4.0","2026-03-19","134"
"SHV1","NA","2038925","URL","Zebra, Kit, Print Mechanism, ZE511 Right Hand","02 MED","1734546","4.0","2026-03-19","134"
"SHV1","NA","2038927","URL","Zebra, Kit, Toggle Assemblies, ZE511, ZE521, Right Hand/Left Hand","02 MED","1734546","4.0","2026-03-19","134"
"SHV1","NA","2038928","URL","Zebra, Kit, Ruler for Toggle Position, Quantity of 3, ZE511 Right Hand","02 MED","1734545","4.0","2026-03-19","134"
"SHV1","NA","2038929","URL","Zebra, Kit, Ribbon Strip Plate & Ribbon Static Brush, ZE511 Right Hand/Left Hand","02 MED","1734545","4.0","2026-03-19","134"
"SHV1","NA","2038930","URL","Zebra, Kit, Cables for Printhead, ZE511 ZE521 Right Hand/Left Hand","02 MED","1734545","1.0","2026-03-19","134"
"SHV1","NA","2038945","URL","Zebra, Kit, Media Sensor, ZE511 Right Hand","02 MED","1734545","4.0","2026-03-19","134"
"SHV1","NA","2038946","URL","Zebra, Kit, Media Door Open Sensor, ZE511, ZE521, RH & LH","02 MED","1734545","4.0","2026-03-19","134"
"SHV1","NA","2038947","URL","Zebra, Kit, Encoder Sensors for Ribbon Drive System, ZE511, ZE521, Right Hand/Left Hand","02 MED","1734545","4.0","2026-03-19","134"
"SHV1","NA","2038952","URL","Zebra, Kit, Motor For The Media Drive System ZE511, ZE521, RH","02 MED","1734545","4.0","2026-03-19","134"
"SHV1","NA","2038959","URL","Zebra, Kit, Platen Support And Guard For Printhead, ZE511 RH & LH","02 MED","1734545","4.0","2026-03-19","134"
"SHV1","NA","2038961","URL","Zebra, Kit, Roller Plates, ZE511, ZE521, Right Hand","02 MED","1734545","4.0","2026-03-19","134"
"SHV1","NA","2038966","URL","Zebra, Kit, Print Mechanism, ZE511 Left Hand","02 MED","1734545","4.0","2026-03-19","134"
"SHV1","NA","2038968","URL","Zebra, Kit, Media Sensor, ZE511 Left Hand","02 MED","1734545","4.0","2026-03-19","134"
"SHV1","NA","2038971","URL","Zebra, Kit, Motor For The Media Drive System, ZE511, ZE521, LH","02 MED","1734545","4.0","2026-03-19","134"
"SHV1","NA","2038972","URL","Zebra, Kit, Ribbon Drive System, ZE511, ZE521, Left Hand","02 MED","1734545","4.0","2026-03-19","134"
"SHV1","NA","2038973","URL","roller Plates ZE511/ZE521 LH","02 MED","1734545","4.0","2026-03-19","134"
"SHV1","NA","29142","URL","MANIFOLD,VALVE,8 STATION,MODULAR","02 MED","1734546","1.0","2026-03-19","134"
"SHV1","NA","3008688","URL","Dancing Arm – Backing Paper Rewinder RH","02 MED","1734546","2.0","2026-03-19","134"
"SHV1","NA","3008689","URL","Roller – dancing arm","02 MED","1734546","2.0","2026-03-19","134"
"SHV1","NA","3008690","URL","MINIATURE CIRCUIT BREAKER FORM FK2 4A","02 MED","1734545","3.0","2026-03-19","134"
"SHV1","NA","3008695","URL","RS232 Com cable","02 MED","1734546","2.0","2026-03-19","134"
"SHV1","NA","3008709","URL","Tube guide roller incl. bearings","02 MED","1734545","2.0","2026-03-19","134"
"SHV1","NA","3008711","URL","WEIGHCELL CABLE 11.5M SONIC","02 MED","1734545","2.0","2026-03-19","134"
"SHV1","NA","3008712","URL","DISC_BREAK","02 MED","1734545","2.0","2026-03-19","134"
"SHV1","NA","3008716","URL","MOTOR AC,0.55KW,23.8NM,221RPM,M1,RAL7031","02 MED","1734545","3.0","2026-03-19","134"
"SHV1","NA","3008717","URL","UK 6-FSI/C-LED NO3001938","02 MED","1734546","1.0","2026-03-19","134"
"SHV1","NA","3008718","URL","ULTRA-HI-SPEED VISION SYSTEM","02 MED","1734545","2.0","2026-03-19","134"
"SHV1","NA","3008719","URL","SENSOR_INDUCTIVE","02 MED","1734545","2.0","2026-03-19","134"
"SHV1","NA","3008721","URL","PRODUCT CONVEYOR BELT","02 MED","1734545","4.0","2026-03-19","134"
"SHV1","NA","3008723","URL","Bearing (2 pieces needed) 15x32x9 mm","02 MED","1734545","2.0","2026-03-19","134"
"SHV1","NA","3008724","URL","6MM POLYCORDSTRAIGHT LENGTH: 212MM (INSTALLATION LENGTH)CUT LENGTH: 215MM","02 MED","1734545","5.0","2026-03-19","134"
"SHV1","NA","3008725","URL","IDLE ROLLER,BAL B-ST ST F12,D79 BB600","02 MED","1734545","4.0","2026-03-19","134"
"SHV1","NA","3008726","URL","RELAY PC 1CO 110VAC/DC","02 MED","1734545","1.0","2026-03-19","134"
"SHV1","NA","3008727","URL","TAPER LOCK BUSHING,1108,DI20","02 MED","1734545","3.0","2026-03-19","134"
"SHV1","NA","3008730","URL","Phoenix Contact 1754465 PCB Plug Screw 5mm 12AWG 320V 12A 3 Position COMBICON MSTB Series","02 MED","1734545","1.0","2026-03-19","134"
"SHV1","NA","3008731","URL","REWINDER_BACKING_PAPER_LH","02 MED","1734545","2.0","2026-03-19","134"
"SHV1","NA","3008732","URL","Inner disc 305 mm","02 MED","1734545","2.0","2026-03-19","134"
"SHV1","NA","3008733","URL","SUPPLY_POWER","02 MED","1734545","2.0","2026-03-19","134"
"SHV1","NA","3008734","URL","Dancing Arm – Backing Paper Rewinder LH","02 MED","1734545","2.0","2026-03-19","134"
"SHV1","NA","3008735","URL","REWINDER_BACKING_PAPER_RH","02 MED","1734546","2.0","2026-03-19","134"
"SHV1","NA","3008736","URL","CABLE_APPLICATOR","02 MED","1734545","2.0","2026-03-19","134"
"SHV1","NA","3008737","URL","V3-GM-10M-PVC, CABLE 10M M8/F/3P/0/A","02 MED","1734546","2.0","2026-03-19","134"
